Food,Region,RMSE,MAE,MAPE (%)
meat_beef_chops,Region VIII,86.78177479150158,79.4231057556043,23.64095498966229
meat_beef_chops,Region X,61.1287976900815,53.78504457762009,18.179666011818828
meat_beef_chops,Region XI,41.40516743225059,37.63960120229018,11.42395074618693
meat_beef_chops,Region XII,20.121941454696202,17.56744465863497,6.686908852830249
meat_beef_chops,Region XIII,105.255422077517,96.34673058137611,27.911531689876075
meat_chicken_whole,Autonomous region in Muslim Mindanao,30.99491979161244,27.871069511668438,13.717388524033138
meat_chicken_whole,Cordillera Administrative region,8.63949125743249,7.808212438532969,4.0047549110058
meat_chicken_whole,Market Average,16.703820974197626,14.179476041582769,6.750318680476209
meat_chicken_whole,National Capital region,24.617488843281457,20.73916064691715,10.991444771125582
meat_chicken_whole,Region I,13.003754233965015,11.619853650454022,5.962529592886439
meat_chicken_whole,Region II,16.19656660312558,13.874458852707486,7.325511015735109
meat_chicken_whole,Region III,27.620098606111107,23.4679137564058,12.672708239233476
meat_chicken_whole,Region IV-A,32.44890478797163,29.159827102311663,14.950317075058257
meat_chicken_whole,Region IV-B,48.76045602958328,44.090519069155285,20.975192934565477
meat_chicken_whole,Region IX,24.899929219304685,22.194781708237393,11.277572355084747
meat_chicken_whole,Region V,38.44692638334921,34.054929055147376,17.135881946490837
meat_chicken_whole,Region VI,32.95283858769377,28.736983301331964,14.8518328426641
meat_chicken_whole,Region VII,34.294204790914705,30.510391359541206,15.612221862992925
meat_chicken_whole,Region VIII,23.502311163553323,20.914026902944528,10.990183849225518
meat_chicken_whole,Region X,31.32242215680943,28.41750722327462,14.07390061197686
meat_chicken_whole,Region XI,27.777586280567736,24.95073858182171,12.950729689559054
meat_chicken_whole,Region XII,36.59807080413247,33.296639815623436,16.658768896382618
meat_chicken_whole,Region XIII,30.88528652001221,27.01667002255551,13.352661771775493
meat_pork,Autonomous region in Muslim Mindanao,75.81868090258156,68.29821379794018,22.318094903354982
meat_pork,Cordillera Administrative region,47.23999891299388,42.46792239857277,13.778495833860896
meat_pork,Market Average,16.469138202603023,12.65769531918066,4.958575717237608
meat_pork,National Capital region,98.29357217548521,92.4883167945369,27.64711578556546
meat_pork,Region I,68.43478928465595,64.16525229316233,20.06610334915855
meat_pork,Region II,52.510228466113716,45.00080456443812,14.066149313772472
meat_pork,Region III,99.47907767611444,94.20210446268081,28.70981904610136
meat_pork,Region IV-A,93.00683852901999,86.73768647229349,25.268027612689796
meat_pork,Region IV-B,66.3774955789604,56.28870259534328,17.498311861340017
meat_pork,Region IX,77.95484913506105,68.28782541646879,21.929854266177877
meat_pork,Region V,55.622508545485886,48.74627094447157,15.525042120639391
meat_pork,Region VI,43.99080968154636,32.063453401291405,10.36574511329465
meat_pork,Region VII,50.35133778634956,43.168654937281815,14.252123034508953
meat_pork,Region VIII,65.43785665312684,57.82349697425775,17.71567335181535
meat_pork,Region X,99.80087676755971,87.9734135142236,26.22172097882617
meat_pork,Region XI,93.16409359085729,85.14028060604424,25.940511320569126
meat_pork,Region XII,75.68169487229433,68.48429981209401,22.69927171015841
meat_pork,Region XIII,72.6210624042118,65.3400205972601,20.111916385197475
onions,Autonomous region in Muslim Mindanao,71.12537866219986,62.621037867185535,37.780463490965616
onions,Cordillera Administrative region,67.52824859848776,56.256426771254425,34.633502799916066
onions,Market Average,61.17386283302071,53.35961028946813,35.90616045249897
onions,National Capital region,76.56704716820579,56.06690882432674,34.59491986663836
onions,Region I,59.81843467312097,46.244873230918955,30.291958404166476
onions,Region II,54.04606285315047,44.92239731459677,32.00292124255337
onions,Region III,65.24926024962386,51.73959734195454,35.30465189185358
onions,Region IV-A,71.2453675008612,57.95962636618128,37.51770962434699
onions,Region IV-B,74.49678496638818,64.04601750880227,39.69064173453691
onions,Region IX,87.98863038350636,72.29587846844134,40.2094541922409
onions,Region V,67.25960380951311,56.58099873389953,33.73088184949278
onions,Region VI,73.58515177780657,55.822235817865646,32.0286980055505
onions,Region VII,90.34896869051597,73.6840917041393,41.662010633320875
onions,Region VIII,78.06683107254581,66.16707742025791,35.447259764558446
onions,Region X,87.92517676199179,70.50048454002143,38.93577242638654
onions,Region XI,91.7278781622483,75.28788893832659,40.204148130962594
onions,Region XII,81.06516654962248,67.59716552399941,38.78058065275414
onions,Region XIII,65.29109745967509,54.33887534474597,30.458078705814344
potatoes,Autonomous region in Muslim Mindanao,39.79023680946469,33.387876113431645,25.582267367688605
potatoes,Cordillera Administrative region,25.823521819861856,19.8005291667506,20.570173285107213
potatoes,Market Average,31.441999958742496,25.745341856566277,25.627917427822894
potatoes,National Capital region,36.63215344767182,26.879595953176658,22.301676589386453
potatoes,Region I,29.677803829221087,23.19271184430165,22.87745159730332
potatoes,Region II,35.28939709755332,26.637579716181914,25.314148435326594
potatoes,Region III,34.018730588611106,25.8331133036617,23.510212812843843
potatoes,Region IV-A,39.641132272523535,30.484487555134205,24.757930396242667
potatoes,Region IV-B,40.642358077700635,34.62763492677034,26.917616920576442
potatoes,Region IX,38.4702273709951,30.664216635940534,23.373180526075995
potatoes,Region V,39.77282953786776,31.003906367884973,23.342270914931458
potatoes,Region VI,35.39733052515619,27.300954744620554,20.311295999463088
potatoes,Region VII,44.003524150720416,35.21009292281072,25.811978553222385
potatoes,Region VIII,41.94640169976434,34.34624239914987,23.97986622771705
potatoes,Region X,37.32566512789782,30.395652454933717,25.73552761303896
potatoes,Region XI,45.20823394049459,37.16294877182677,28.7264072182034
potatoes,Region XII,32.680050435764905,27.669801810517605,23.328156283136046
potatoes,Region XIII,33.44771662773492,28.134147928651807,21.717343786714828
rice,Autonomous region in Muslim Mindanao,4.7224314730408645,3.795218315561744,8.215701782821794
rice,Cordillera Administrative region,4.431308267356049,3.037317826277934,6.718836936330663
rice,Market Average,5.271191812332651,3.6879088222100997,7.9544952961442705
rice,National Capital region,2.271067913200138,1.6264360484627343,3.851101686514248
rice,Region I,4.522716849304527,3.442437275911733,7.955415854354676
rice,Region II,4.4757532871344115,3.7553422115714445,9.38555704332239
rice,Region III,4.338012700134665,3.5982797209093,8.55378980014633
rice,Region IV-A,4.277475119378331,3.081683920871339,6.928040717531352
rice,Region IV-B,4.1396595897987964,3.026723019774334,6.8455969664318035
rice,Region IX,4.537650285138908,3.607820055690939,8.18877900883137
rice,Region V,5.6045644242807935,3.657210245971251,7.674947496761601
rice,Region VI,5.010155293587869,4.549126984803285,11.597169701668532
rice,Region VII,4.58763722652179,2.9215605655906716,5.850905162829043
rice,Region VIII,5.048160543377016,3.2502976064723184,6.809724888180056
rice,Region X,4.566721021913328,3.2012946654752947,6.775218707755258
rice,Region XI,5.704008294403536,4.438580619658617,9.898661444881814
rice,Region XII,5.000139619002289,4.623403247476768,11.503976045302569
rice,Region XIII,5.21207459700205,3.4605523562871228,7.462745871238671
tomatoes,Autonomous region in Muslim Mindanao,39.89820214353766,36.57238651472704,45.11199302996764
tomatoes,Cordillera Administrative region,30.84908406566518,24.775941013711886,37.47630374170468
tomatoes,Market Average,40.54738011578022,30.459254784980924,40.633561822635365
tomatoes,National Capital region,31.33767720996396,24.157441713467964,26.963343622639474
tomatoes,Region I,35.80863847376866,26.320833136288975,36.457906196746585
tomatoes,Region II,31.109833753210992,24.385344084032955,38.58476138719287
tomatoes,Region III,31.81862890149914,22.923375141483763,29.48213147737257
tomatoes,Region IV-A,40.3341679773607,32.830376794886675,36.10007083637136
tomatoes,Region IV-B,44.299678767129265,37.23925538696666,36.729753707079354
tomatoes,Region IX,35.72930340200771,30.979228532376997,37.1344335885015
tomatoes,Region V,53.02678572501838,43.49298739045714,42.07547574581375
tomatoes,Region VI,27.867194640906607,21.475867789296416,22.57240551172206
tomatoes,Region VII,43.06653926017513,37.9684742431117,37.61195994839226
tomatoes,Region VIII,28.584644947113002,23.39820166012622,26.375486752600775
tomatoes,Region X,30.126248093734457,24.225430405189652,29.322909453596147
tomatoes,Region XI,35.401233316511735,29.28291455479978,41.70995899048797
tomatoes,Region XII,27.50725006749501,23.350160542493953,36.54017196880701
tomatoes,Region XIII,28.449798871323857,23.783065622166617,28.131243214812134
